Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
BUENOS AIRES,Monte,Zenón Videla Dorna,,--,--,,--,
BUENOS AIRES,,,SI,,,SI,,--
BUENOS AIRES,Monte Hermoso,,SI,--,,SI,SI,--
Buenos Aires,Moreno,,--,SI,,SI,,--
BUENOS AIRES,,Francisco Alvarez,SI,,SI,SI,,
Buenos Aires,Tigre,Don Torcuato Este,,SI,SI,,SI,--
Buenos Aires,Tigre,Don Torcuato Oeste,--,--,--,SI,--,--
BUENOS AIRES,,El Talar,SI,,SI,SI,,
BUENOS AIRES,,,SI,,,SI,,SI
Buenos Aires,Tigre,Los Troncos Del Talar,,--,SI,,SI,SI
Buenos Aires,Tigre,Nordelta,,--,SI,,SI,--
RIO NEGRO,Ñorquincó,,--,--,,--,SI,
RIO NEGRO,,,--,,,--,,SI
RIO NEGRO,,Ojos de Agua,--,,--,--,,--
BUENOS AIRES,,,SI,,,SI,SI,--
Buenos Aires,Tigre,Rincón de Milberg,SI,--,SI,SI,SI,--
Buenos Aires,Tigre,Tigre,,--,SI,,SI,
BUENOS AIRES,,,SI,,,SI,,--
BUENOS AIRES,,Villa Roch,--,,--,SI,,--
BUENOS AIRES,Tornquist,,--,--,,--,SI,--
BUENOS AIRES,,,SI,,,SI,,
BUENOS AIRES,Tornquist,Sierra de la Ventana,,--,SI,,SI,--
,Ñorquincó,Río Chico (Est. Cerro Mesa),,--,--,,SI,SI
,Pichi Mahuida,Barrio Esperanza,--,--,SI,--,--,
Buenos Aires,Cañuelas,Alejandro Petión,,SI,--,,SI,--
BUENOS AIRES,,Barrio Belgrano-Máximo Paz,--,,--,SI,,--
BUENOS AIRES,,,--,,,SI,--,--
Buenos Aires,Cañuelas,Cañuelas,,SI,SI,,SI,
Buenos Aires,Cañuelas,Gobernador Udaondo,--,--,--,SI,--,
BUENOS AIRES,,,--,,,--,,--
Buenos Aires,Cañuelas,,--,--,,SI,--,SI
Buenos Aires,Cañuelas,Uribelarrea,,--,SI,,SI,--
Buenos Aires,Cañuelas,Vicente Casares,,SI,--,,SI,
Buenos Aires,Capitán Sarmiento,Capitán Sarmiento,,--,SI,,SI,--
Buenos Aires,Capitán Sarmiento,La Luisa,--,--,--,--,--,--
BUENOS AIRES,Carlos Casares,,--,SI,,--,,
BUENOS AIRES,,Villa Juan Martín De Pueyrredon,--,,SI,SI,,
,General San Martín,Villa Libertad,--,--,SI,SI,--,--
,General San Martín,Villa Lynch,,--,SI,,SI,--
BUENOS AIRES,General San Martín,Villa Maipu,,--,SI,,SI,
,General San Martín,Villa Marqués Alejandro María De Aguado,--,--,SI,,--,
BUENOS AIRES,General San Martín,,--,--,,SI,--,--
BUENOS AIRES,,Villa Parque San Lorenzo,--,,SI,SI,,--
BUENOS AIRES,,Villa San Andrés,SI,,SI,SI,,
BUENOS AIRES,,,--,,,SI,,--
Buenos Aires,General Viamonte,Baigorrita,SI,--,--,SI,SI,--
Buenos Aires,General Viamonte,La Delfina,,--,--,,--,--
Buenos Aires,Moreno,,SI,SI,,SI,SI,SI
BUENOS AIRES,,Moreno,SI,,SI,SI,,
Buenos Aires,Moreno,Paso Del Rey,--,--,SI,SI,SI,SI
Buenos Aires,Moreno,Trujui,,SI,SI,,SI,--
BUENOS AIRES,,Castelar,SI,,,SI,,--
