Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2015,4,Mendoza,6.2,22.23
2015,4,Misiones,10.02,36.83
2015,4,Neuquén,17.93,60.29
2015,4,Río Negro,8.09,26.33
2015,4,Salta,12.97,53.61
2015,4,San Juan,5.99,23.52
2015,4,San Luis,11.45,40.04
2015,4,Santa Cruz,17.16,57.8
2015,4,Santa Fe,18.06,57.46
2015,4,Santiago del Estero,10.77,43.42
2015,4,Tierra del Fuego,24.74,83.62
2015,4,Tucumán,7.86,31.76
2015,3,Buenos Aires,15.04,49.36
2015,3,Capital Federal,23.44,61.71
2015,3,Catamarca,7.33,28.83
2015,3,Chaco,8.11,30.37
2015,3,Chubut,12.14,39.66
2015,3,Córdoba,27.64,90.37
2015,3,Corrientes,8.63,32.8
2015,3,Entre Ríos,11.63,38.91
2015,3,Formosa,8.01,31.5
2015,3,Jujuy,11.79,46.13
2015,3,La Pampa,25.1,76.23
2015,3,La Rioja,7.01,26.36
2015,3,Mendoza,6.23,22.35
2015,3,Misiones,9.96,36.62
2015,3,Neuquén,17.96,60.4
2015,3,Río Negro,8.17,26.6
2015,3,Salta,12.77,52.79
2015,3,San Juan,5.9,23.17
2015,3,San Luis,11.49,40.19
2015,3,Santa Cruz,17.15,57.76
2015,3,Santa Fe,18.06,57.46
2015,3,Santiago del Estero,10.73,43.28
2015,3,Tierra del Fuego,24.33,82.22
2015,3,Tucumán,7.7,31.12
2015,2,Buenos Aires,15.14,49.69
2015,2,Capital Federal,22.7,59.77
2015,2,Catamarca,7.19,28.27
2015,2,Chaco,8.0,29.95
2015,2,Chubut,12.13,39.62
2015,2,Córdoba,27.44,89.71
2015,2,Corrientes,8.56,32.54
2015,2,Entre Ríos,11.65,38.98
2015,2,Formosa,8.0,31.46
2015,2,Jujuy,11.48,44.92
