Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2017,3,San Luis,21408,311,21.719
2017,3,Santa Cruz,33222,468,33.690
2017,3,Santa Fe,662086,256,662.342
2017,3,Santiago Del Estero,82792,2,82.794
2017,3,Tierra Del Fuego,30883,583,31.466
2017,3,Tucumán,160979,33,161.012
2017,2,Buenos Aires,3067430,11201,3.078.631
2017,2,Capital Federal,1592175,8016,1.600.191
2017,2,Catamarca,26692,13,26.705
2017,2,Chaco,90597,14,90.611
2017,2,Chubut,62245,1730,63.975
2017,2,Córdoba,657505,133,657.638
2017,2,Corrientes,90085,12,90.097
2017,2,Entre Ríos,182675,57,182.732
2017,2,Formosa,29956,0,29.956
2017,2,Jujuy,42656,1,42.657
2017,2,La Pampa,72573,449,73.022
2017,2,La Rioja,16271,18,16.289
2017,2,Mendoza,169302,1451,170.753
2017,2,Misiones,99794,0,99.794
2017,2,Neuquén,115321,2112,117.433
2017,2,Río Negro,100621,998,101.619
2017,2,Salta,108540,1,108.541
2017,2,San Juan,51261,620,51.881
2017,2,San Luis,12992,315,13.307
2017,2,Santa Cruz,26019,369,26.388
2017,2,Santa Fe,566918,362,567.280
2017,2,Santiago Del Estero,33194,2,33.196
2017,2,Tierra Del Fuego,31938,619,32.557
2017,2,Tucumán,154374,37,154.411
2017,1,Buenos Aires,3178174,11202,3.189.376
2017,1,Capital Federal,1391030,8016,1.399.046
2017,1,Catamarca,26304,13,26.317
2017,1,Chaco,89036,14,89.050
2017,1,Chubut,62166,1730,63.896
2017,1,Córdoba,641066,133,641.199
2017,1,Corrientes,88596,12,88.608
2017,1,Entre Ríos,180296,57,180.353
2017,1,Formosa,29705,0,29.705
2017,1,Jujuy,43202,1,43.203
2017,1,La Pampa,71458,455,71.913
2017,1,La Rioja,16207,18,16.225
2017,1,Mendoza,169282,1451,170.733
2017,1,Misiones,97619,0,97.619
2017,1,Neuquén,113227,2112,115.339
2017,1,Río Negro,100288,1000,101.288
2017,1,Salta,107632,1,107.633
2017,1,San Juan,51253,620,51.873
2017,1,San Luis,12992,315,13.307
2017,1,Santa Cruz,26116,370,26.486
2017,1,Santa Fe,562520,362,562.882
2017,1,Santiago Del Estero,34473,2,34.475
2017,1,Tierra Del Fuego,31938,619,32.557
2017,1,Tucumán,152734,37,152.771
2016,4,Buenos Aires,3131499,11202,3.142.701
2016,4,Capital Federal,1393443,8016,1.401.459
2016,4,Catamarca,27021,13,27.034
2016,4,Chaco,88833,14,88.847
2016,4,Chubut,62035,1730,63.765
2016,4,Córdoba,636422,133,636.555
2016,4,Corrientes,88084,12,88.096
2016,4,Entre Ríos,180188,57,180.245
2016,4,Formosa,29513,0,29.513
2016,4,Jujuy,42624,1,42.625
2016,4,La Pampa,71368,460,71.828
2016,4,La Rioja,16298,18,16.316
2016,4,Mendoza,169274,1451,170.725
2016,4,Misiones,97390,0,97.390
2016,4,Neuquén,111723,2112,113.835
2016,4,Río Negro,100020,1000,101.020
2016,4,Salta,106934,1,106.935
2016,4,San Juan,51301,620,51.921
2016,4,San Luis,12992,315,13.307
2016,4,Santa Cruz,26094,370,26.464
2016,4,Santa Fe,561470,362,561.832
2016,4,Santiago Del Estero,35049,2,35.051
2016,4,Tierra Del Fuego,31938,619,32.557
2016,4,Tucumán,151615,37,151.652
2016,3,Buenos Aires,3075387,11205,3.086.592
2016,3,Capital Federal,1395053,8051,1.403.104
2016,3,Catamarca,26957,13,26.970
2016,3,Chaco,89216,14,89.230
2016,3,Chubut,62222,1730,63.952
2016,3,Córdoba,642458,133,642.591
2016,3,Corrientes,88328,12,88.340
2016,3,Entre Ríos,181092,57,181.149
2016,3,Formosa,27716,0,27.716
2016,3,Jujuy,42537,1,42.538
2016,3,La Pampa,69903,461,70.364
2016,3,La Rioja,16912,18,16.930
2016,3,Mendoza,169174,1450,170.624
2016,3,Misiones,97997,0,97.997
2016,3,Neuquén,110491,2112,112.603
2016,3,Río Negro,100024,1002,101.026
2016,3,Salta,107790,1,107.791
2016,3,San Juan,51348,620,51.968
2016,3,San Luis,12978,315,13.293
2016,3,Santa Cruz,25886,371,26.257
2016,3,Santa Fe,566625,386,567.011
2016,3,Santiago Del Estero,35658,2,35.660
2016,3,Tierra Del Fuego,31306,619,31.925
2016,3,Tucumán,151282,37,151.319
2016,2,Buenos Aires,3032776,12515,3.045.291
2016,2,Capital Federal,1384824,9760,1.394.584
2016,2,Catamarca,26543,13,26.556
2016,2,Chaco,88235,16,88.251
2016,2,Chubut,62116,1740,63.856
2016,2,Córdoba,634680,234,634.914
2016,2,Corrientes,86932,24,86.956
2016,2,Entre Ríos,178194,179,178.373
2016,2,Formosa,28801,1,28.802
2016,2,Jujuy,41187,2,41.189
2016,2,La Pampa,68403,485,68.888
2016,2,La Rioja,16718,18,16.736
2016,2,Mendoza,169274,1550,170.824
2016,2,Misiones,95808,7,95.815
2016,2,Neuquén,108224,2291,110.515
2016,2,Río Negro,99631,1073,100.704
2016,2,Salta,104929,3,104.932
2016,2,San Juan,51392,621,52.013
2016,2,San Luis,12939,317,13.256
2016,2,Santa Cruz,25797,356,26.153
2016,2,Santa Fe,563867,607,564.474
2016,2,Santiago Del Estero,36958,3,36.961
2016,2,Tierra Del Fuego,30740,619,31.359
2016,2,Tucumán,148636,41,148.677
2016,1,Buenos Aires,2929903,12612,2.942.515
2016,1,Capital Federal,1328079,9817,1.337.896
2016,1,Catamarca,26376,13,26.389
2016,1,Chaco,86635,16,86.651
2016,1,Chubut,62060,1740,63.800
2016,1,Córdoba,609692,234,609.926
2016,1,Corrientes,85510,26,85.536
2016,1,Entre Ríos,174634,179,174.813
2016,1,Formosa,28313,1,28.314
2016,1,Jujuy,40287,2,40.289
2016,1,La Pampa,65442,487,65.929
2016,1,La Rioja,16673,18,16.691
2016,1,Mendoza,169257,1553,170.810
2016,1,Misiones,92951,7,92.958
2016,1,Neuquén,101969,2292,104.261
2016,1,Río Negro,98745,1077,99.822
2016,1,Salta,102423,3,102.426
2016,1,San Juan,51373,621,51.994
2016,1,San Luis,12915,317,13.232
2016,1,Santa Cruz,25931,356,26.287
